ORDER_LINE_STATUS	ORDER_NUMBER	PLANNING_DATE	REQUESTED_DELIVERY_DATE	DEPARTURE_DATE	CUSTOMER_NUMBER	COUNTRY	CUSTOMERS_ORDER_NO	ORDER_LINE_DELIVERY_METHOD	ORDER_TYPE_CODE	ITEM_NUMBER	NAME	PROCUREMENT_GROUP_CODE	EAN_NUMBER	ORDER_LINE_NUMBER	WAREHOUSE	ORDERED_QUANTITY	NET_PRICE	PRICE	DELIVERY_NO
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.075	Adrenaline GTS 25	FTW	195394877502	1	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.080	Adrenaline GTS 25	FTW	195394877519	2	408	11	50	550	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.085	Adrenaline GTS 25	FTW	195394877526	3	408	23	50	1150	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.090	Adrenaline GTS 25	FTW	195394877533	4	408	31	50	1550	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.095	Adrenaline GTS 25	FTW	195394877540	5	408	41	50	2050	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.100	Adrenaline GTS 25	FTW	195394877557	6	408	42	50	2100	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.105	Adrenaline GTS 25	FTW	195394877564	7	408	41	50	2050	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.110	Adrenaline GTS 25	FTW	195394877571	8	408	37	50	1850	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.115	Adrenaline GTS 25	FTW	195394877588	9	408	28	50	1400	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.120	Adrenaline GTS 25	FTW	195394877595	10	408	18	50	900	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.125	Adrenaline GTS 25	FTW	195394877601	11	408	13	50	650	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.130	Adrenaline GTS 25	FTW	195394877618	12	408	10	50	500	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.140	Adrenaline GTS 25	FTW	195394877625	13	408	4	50	200	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D017.150	Adrenaline GTS 25	FTW	195394877632	14	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D020.090	Adrenaline GTS 25	FTW	195394662269	15	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D020.095	Adrenaline GTS 25	FTW	195394662306	16	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D020.100	Adrenaline GTS 25	FTW	195394662344	17	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D020.105	Adrenaline GTS 25	FTW	195394662382	18	408	1	50	50	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104541D020.110	Adrenaline GTS 25	FTW	195394662429	19	408	1	50	50	34586334
